,Name,Mathches_played,Goals,Assist,Yellow_cards,Yellow_to_red,Red_cards,Minutes_played
3391,Mehmet Aurélio,49,5,14,7,0,0,4.210'
3392,Sébastien Puygrenier,46,5,1,12,0,1,3.931'
3393,Darío Cvitanich,30,19,8,12,0,0,2.452'
3394,Cristian Zaccardo,38,1,2,10,0,0,3.124'
3395,Lautaro Acosta,29,5,9,2,1,0,2.203'
3396,Andrea Raggi,36,1,0,4,0,0,3.018'
3397,Pablo Piatti,40,8,7,2,0,0,2.779'
3398,Fernandão,2,0,0,1,0,0,161'
3399,Rio Mavuba,33,2,1,3,0,0,2.588'
3400,Cristian Rodríguez,35,7,5,5,0,0,2.832'
3401,Dave Kitson,36,10,3,2,0,1,2.654'
3402,Sidnei,4,1,0,0,2,0,277'
3403,Rolando Bianchi,41,9,5,2,1,0,2.059'
3404,Zoran Tosic,32,8,4,5,0,0,2.417'
3405,Daniel Osvaldo,25,6,1,3,1,0,1.296'
3406,Charles N'Zogbia,37,3,7,5,0,0,2.876'
3407,Frédéric Piquionne,36,8,4,3,0,0,2.510'
3408,Fabian Ernst,48,2,4,9,0,0,4.298'
3409,Túlio de Melo,35,15,1,2,0,0,2.795'
3410,Carlos Martins,35,7,6,3,0,1,2.618'
3411,Julien Faubert,8,0,0,1,0,0,372'
3412,Nenê,31,7,9,4,0,0,2.285'
3413,Nikola Zigic,21,5,0,2,0,1,759'
3414,Federico Marchetti,37,0,3,0,0,33,3.285'
3415,Daniele Dessena,30,1,1,8,0,0,1.725'
3416,Yoan Gouffran,37,11,6,3,0,0,3.074'
3417,Jesús Dátolo,40,7,7,9,0,0,2.480'
3418,Younès Kaboul,29,4,2,3,0,0,2.212'
3419,Marko Basa,41,7,0,8,0,0,3.632'
3420,Igor Budan,16,7,2,1,0,0,827'
3421,Kevin Nolan,39,5,4,11,0,0,3.314'
3422,Zvjezdan Misimovic,37,13,7,4,0,0,2.838'
3423,Pascal Chimbonda,49,3,6,7,0,0,4.257'
3424,Pascal Chimbonda,49,3,6,7,0,0,4.257'
3425,Gilberto Silva,36,1,2,2,0,0,2.012'
3426,Philippe Senderos,32,2,0,2,0,1,2.549'
3427,Paolo Sammarco,36,5,2,9,0,0,2.601'
3428,Rigobert Song,32,2,0,7,0,0,2.684'
3429,Petit,25,1,1,9,0,0,2.126'
3430,Aaron Ramsey,21,2,3,1,0,0,1.359'
3431,Fabrice Muamba,38,2,2,5,0,0,3.293'
3432,Tal Ben Haim,22,0,0,4,0,0,1.649'
3433,Steve Sidwell,25,1,1,2,0,0,1.116'
3434,Pablo Ledesma,38,7,0,6,0,1,2.474'
3435,Gökhan Ünal,31,12,4,8,0,1,2.186'
3436,Alex Silva,15,1,0,4,0,0,1.350'
3437,Paulo Assunção,36,0,2,8,0,0,3.161'
3438,Marcelo Moreno,11,9,1,1,1,0,948'
3439,Ognjen Vukojevic,41,15,2,12,0,0,3.578'
3440,Giovani dos Santos,38,4,7,6,0,0,1.730'
3441,Gaby Mudingayi,35,0,0,15,0,0,2.676'
3442,Roberto Soldado,8,0,0,0,0,0,205'
3443,Baré,24,11,0,2,0,0,2.017'
3444,Aritz Aduriz,38,8,4,4,0,0,2.273'
3445,Nélson,26,0,0,4,0,1,2.051'
3446,Pelé,22,2,1,5,1,0,1.022'
3447,Brandão,39,19,3,10,0,1,2.687'
3448,Mirel Radoi,20,0,0,4,0,0,1.792'
3449,Dudu Cearense,17,1,0,6,0,0,1.143'
3450,Jonás Gutiérrez,36,0,6,9,0,0,2.545'
3451,Joseba Llorente,39,16,7,8,1,0,3.076'
3452,Igor Semshov,30,6,8,6,0,0,2.687'
3453,Rubén de la Red,49,9,4,10,0,1,4.079'
3454,Fernando Navarro,42,0,0,8,0,0,3.749'
3455,Nicky Shorey,38,3,10,5,0,0,3.377'
3456,Scott Carson,36,0,1,0,1,47,3.216'
3457,Florent Balmont,40,1,3,8,0,0,3.538'
