,Name,Mathches_played,Goals,Assist,Yellow_cards,Yellow_to_red,Red_cards,Minutes_played
1310,Chengdong Zhang,26,0,2,8,0,1,2.071'
1311,Lucas Pérez,39,19,11,6,0,0,3.342'
1312,Kevin Volland,34,8,10,9,0,0,2.821'
1313,Didier Ndong,40,2,1,14,0,0,3.629'
1314,Axel Witsel,41,6,5,8,0,0,3.600'
1315,Ahmed Musa,44,18,7,3,0,0,3.858'
1316,Mattia Caldara,29,3,0,4,2,0,2.525'
1317,Sofiane Boufal,35,12,4,10,1,1,2.726'
1318,Gerson,2,0,0,0,0,0,72'
1319,Dayot Upamecano,21,1,0,4,1,1,1.691'
1320,Joaquín Correa,25,3,0,5,1,0,1.308'
1321,Nolito,29,12,7,8,0,0,2.452'
1322,Claudio Bravo,35,0,0,0,0,23,3.148'
1323,Jordon Ibe,43,4,4,1,0,0,2.245'
1324,Borja Bastón,39,19,4,4,0,0,2.686'
1325,Leonardo Pavoletti,26,15,2,3,0,1,2.036'
1326,Alexandre Pato,2,1,0,0,0,0,131'
1327,Marcelo Brozovic,35,7,5,8,0,0,2.623'
1328,Joel Matip,41,4,5,3,0,0,3.690'
1329,Yuhao Zhao,17,0,0,2,0,0,1.436'
1330,Wilfred Ndidi,43,4,3,5,0,0,3.688'
1331,Manolo Gabbiadini,30,9,3,1,0,0,982'
1332,Stephan El Shaarawy,42,11,3,2,0,0,2.447'
1333,Joe Hart,47,0,0,0,0,48,4.181'
1334,Franco Vázquez,38,8,5,11,0,1,3.297'
1335,Leon Bailey,42,7,11,5,0,0,3.083'
1336,Lucas Digne,42,3,4,4,0,0,3.619'
1337,Piotr Zielinski,36,5,4,5,1,0,3.126'
1338,Rafa Silva,50,12,8,6,0,0,3.740'
1339,Roberto Pereyra,16,0,1,1,0,0,855'
1340,Miranda,34,1,2,8,1,1,2.922'
1341,Medhi Benatia,22,1,2,3,0,0,1.273'
1342,Andros Townsend,27,7,6,0,0,0,1.992'
1343,Nampalys Mendy,40,1,2,2,0,1,3.602'
1344,Joe Allen,37,3,3,3,0,0,1.748'
1345,Ryan Mason,29,2,0,3,0,0,1.311'
1346,Graziano Pellè,51,19,9,10,0,0,3.955'
1347,Oliver Burke,21,2,1,0,0,0,926'
1348,Nacer Chadli,40,7,5,1,0,0,1.682'
1349,Robbie Brady,36,3,2,3,0,0,2.987'
1350,Luka Milivojevic,31,3,1,10,1,0,2.796'
1351,Christoph Kramer,44,0,3,5,0,0,3.599'
1352,Isaac Success,33,6,5,10,1,0,2.603'
1353,Djibril Sidibé,43,6,3,4,0,0,3.829'
1354,Pierre-Emile Höjbjerg,31,0,2,7,0,0,1.690'
1355,Hélder Costa,28,5,3,4,0,0,1.609'
1356,Jonathan Soriano,34,32,14,5,0,0,2.942'
1357,Victor Wanyama,35,1,1,4,2,1,2.949'
1358,Saido Berahino,37,9,1,0,0,0,2.247'
1359,Riechedly Bazoer,39,5,5,4,1,0,3.116'
1360,Edin Dzeko,39,10,4,4,0,1,2.555'
1361,Simone Zaza,24,8,2,9,0,1,958'
1362,Gökhan Töre,35,6,9,2,0,0,2.164'
1363,Simone Zaza,24,8,2,9,0,1,958'
1364,M'Baye Niang,21,8,4,3,0,0,1.411'
1365,Sofiane Feghouli,33,5,4,7,0,0,2.042'
1366,Éver Banega,45,9,5,13,1,1,3.377'
1367,Zlatan Ibrahimovic,51,50,19,4,0,0,4.146'
1368,Samir Nasri,13,2,3,3,0,0,619'
1369,Rodolfo Pizarro,42,7,6,9,0,0,3.337'
1370,Amadou Diawara,35,0,1,11,1,1,2.779'
1371,Nani,47,12,13,11,1,0,3.732'
1372,Ross McCormack,49,23,11,6,0,0,4.397'
1373,Sime Vrsaljko,36,0,4,8,1,0,3.151'
1374,Filip Kostic,33,5,8,5,0,0,2.899'
1375,Ashley Williams,36,2,1,8,0,0,3.240'
1376,Roberto Soriano,40,8,1,7,0,0,3.094'
1377,Luciano Vietto,28,3,5,4,0,0,1.425'
1378,Óliver Torres,33,1,3,4,0,0,1.337'
1379,Lazar Markovic,21,2,3,3,0,0,1.196'
1380,Lazar Markovic,21,2,3,3,0,0,1.196'
1381,Jeffrey Schlupp,26,1,3,5,0,0,1.456'
1382,Nathan Redmond,37,6,2,0,0,0,2.482'
1383,Stevan Jovetic,28,7,4,4,0,0,1.715'
1384,Yannick Gerhardt,30,2,5,3,0,0,1.894'
1385,Benjamin Mendy,36,1,5,11,0,1,2.985'
1386,Nicola Sansone,38,7,5,8,0,0,2.604'
1387,Jasper Cillessen,44,0,0,0,0,33,3.884'
1388,Bruno Peres,33,3,6,9,0,0,2.781'
1389,Moussa Sow,29,14,2,4,0,0,2.353'
1390,Jonathan Kodjia,48,19,3,6,0,0,3.675'
1391,Jannik Vestergaard,38,3,0,2,0,0,3.450'
1392,Fernando,38,4,1,15,0,0,3.254'
1393,Yunus Malli,36,11,5,0,0,0,2.944'
1394,Jesé,38,6,7,0,0,0,1.252'
1395,Yongpo Wang,21,4,4,4,1,0,1.309'
1396,Manuel Lanzini,33,8,4,3,0,0,2.495'
1397,Sebastian Rode,17,1,2,1,0,0,493'
1398,Raphaël Guerreiro,41,3,2,3,0,0,3.044'
1399,Dwight Gayle,20,7,1,1,1,0,1.024'
1400,Matt Ritchie,42,4,6,5,0,0,3.185'
1401,Morgan Sanson,15,3,0,1,0,0,633'
1402,Robert Snodgrass,29,5,6,2,0,0,2.004'
1403,Brown Ideye,36,13,7,3,0,0,2.847'
1404,Éder,36,14,3,5,0,0,2.684'
1405,Diego Perotti,34,4,7,3,0,2,2.571'
1406,Adem Ljajic,29,4,3,2,0,0,1.690'
1407,Marc Bartra,24,2,1,1,0,0,1.196'
1408,Éverton Ribeiro,26,9,10,2,0,0,2.319'
1409,Denis Suárez,48,5,12,4,0,0,3.372'
1410,Josuha Guilavogui,42,2,1,4,0,0,3.287'
1411,Mamadou Sakho,34,2,0,1,0,0,2.823'
1412,Seydou Doumbia,25,11,5,2,0,0,1.650'
1413,Riccardo Saponara,34,5,9,7,0,1,2.731'
1414,Mario Gómez,41,28,6,5,0,0,3.328'
1415,Abdul Rahman Baba,24,0,2,2,0,0,1.836'
1416,Calum Chambers,25,1,0,3,0,0,1.200'
1417,Oumar Niasse,30,13,10,5,0,0,1.986'
1418,Demba Ba,21,17,4,3,0,0,1.805'
1419,Bas Dost,31,10,2,0,0,0,1.964'
1420,Jeff Hendrick,36,2,3,6,0,0,2.307'
1421,James Tomkins,32,3,0,3,0,1,2.523'
1422,Jeffrey Bruma,44,0,2,8,0,0,3.738'
1423,Anthony Ujah,52,19,8,3,0,0,3.883'
1424,Jake Livermore,39,4,3,9,0,0,3.370'
1425,Min Cui,30,1,3,3,0,0,2.700'
1426,Andrej Kramaric,21,6,4,0,1,0,1.409'
1427,Kamil Glik,35,0,1,10,0,0,3.142'
1428,Hakim Ziyech,34,17,12,6,0,0,3.042'
1429,Georges-Kevin N'Koudou,41,10,5,1,0,0,3.007'
1430,Alexandre Pato,2,1,0,0,0,0,131'
1431,Jeremain Lens,23,4,3,3,1,0,1.555'
1432,John Mikel Obi,33,1,1,9,0,0,2.408'
1433,Mingjian Zhao,31,1,4,5,0,0,2.537'
1434,Hang Ren,20,3,1,3,0,0,1.754'
1435,Marten de Roon,37,2,2,9,1,0,3.185'
1436,Cristian Ansaldi,26,0,4,4,0,0,2.133'
1437,Martin Hinteregger,23,1,2,3,0,0,1.858'
1438,Kyung-won Kwon,23,2,0,5,0,0,2.057'
1439,Carlos Tevez,24,9,4,4,0,0,2.083'
1440,Patrick van Aanholt,37,5,3,2,0,0,3.330'
1441,Scott Hogan,7,7,0,0,0,0,171'
1442,Vincent Aboubakar,42,18,3,4,1,0,3.036'
1443,Wenzhao Zhang,23,0,0,4,0,0,567'
1444,Josip Brekalo,25,4,1,1,0,0,1.392'
1445,Lorenzo Tonelli,27,2,0,8,1,0,2.379'
1446,Maxime Lestienne,20,3,10,1,0,0,1.042'
1447,Giovani Lo Celso,23,2,6,5,0,1,1.369'
1448,Rubén Rochina,38,6,6,11,0,0,2.752'
1449,Rodrigo de Paul,29,1,1,5,0,0,1.491'
1450,Ciro Immobile,29,9,5,5,0,0,1.673'
1451,Antonio Rüdiger,37,2,0,5,0,0,3.294'
1452,Denis Cheryshev,14,4,1,4,0,0,632'
1453,Alen Halilovic,37,5,5,6,0,0,2.390'
1454,Paul-Georges Ntep,15,2,3,1,0,0,986'
1455,Jonathan Calleri,17,12,0,8,1,1,1.249'
1456,Cristian Tello,35,4,5,1,0,0,2.093'
1457,André Carrillo,7,1,3,2,0,0,609'
1458,Steve Mandanda,50,0,6,0,0,53,4.530'
1459,Nicolas N'Koulou,41,0,0,11,0,1,3.691'
1460,Hatem Ben Arfa,37,18,7,2,0,0,3.100'
1461,Bruno Martins Indi,34,0,0,5,1,0,2.990'
1462,Clinton N'Jie,14,0,1,1,0,0,386'
1463,Enner Valencia,25,6,3,1,0,0,1.369'
1464,Stevan Jovetic,28,7,4,4,0,0,1.715'
1465,Bojan Krkic,32,7,2,2,0,0,2.097'
1466,Branislav Ivanovic,43,2,3,8,0,0,3.818'
1467,Ross McCormack,49,23,11,6,0,0,4.397'
1468,Jordan Rhodes,44,17,3,2,0,0,3.384'
1469,Miguel Borja,21,17,1,8,0,1,1.810'
1470,Mario Lemina,17,2,0,6,0,0,1.235'
1471,Emre Mor,14,3,2,1,1,0,1.063'
1472,Nicolae Stanciu,39,14,11,7,0,0,3.219'
1473,Chenglin Zhang,14,1,1,3,0,0,1.071'
1474,Gustavo Gómez,16,0,2,5,0,0,1.398'
1475,Gianluca Lapadula,46,30,12,10,0,0,4.044'
1476,Ganso,18,3,5,4,0,0,1.422'
1477,Wissam Ben Yedder,41,23,6,2,0,0,3.348'
1478,Papy Djilobodji,17,2,1,6,0,0,1.440'
1479,Konstantinos Mitroglou,45,25,6,6,0,0,3.009'
1480,Jérémy Ménez,12,4,0,1,0,0,383'
1481,Alex Pritchard,7,2,0,0,0,0,298'
1482,Matej Vydra,37,9,3,2,0,0,2.523'
1483,James Chester,19,0,0,5,0,0,1.447'
1484,José Fonte,43,2,1,4,0,1,3.708'
1485,Walace,28,2,1,10,0,0,2.453'
1486,Nicolás López,43,11,4,5,0,0,2.731'
1487,Hongbo Yin,32,5,2,10,0,0,2.624'
1488,Sven Kums,52,16,8,6,0,0,4.536'
1489,Kamil Grosicki,36,9,4,2,0,0,1.732'
1490,Idrissa Gueye,38,1,1,10,0,0,3.299'
1491,Dennis Praet,46,6,9,7,1,0,3.922'
1492,Tomás Rincón,34,3,4,10,0,0,3.050'
1493,Juan Jesus,23,0,1,4,0,0,1.724'
1494,Loïc Rémy,20,3,1,0,0,0,615'
1495,Marco Sportiello,37,0,2,0,0,43,3.330'
1496,Caner Erkin,27,1,8,9,0,0,2.038'
1497,Dani Alves,48,1,8,13,0,0,3.824'
1498,Florian Thauvin,38,5,3,1,0,1,1.856'
1499,Nabil Bentaleb,14,1,1,3,0,0,684'
1500,Kevin De Bruyne,51,16,28,7,0,0,4.551'
1501,Raheem Sterling,52,11,10,7,0,0,4.519'
1502,Ángel Di María,33,4,12,1,1,0,2.017'
1503,Anthony Martial,48,12,5,2,0,0,2.560'
1504,Alex Teixeira,37,22,4,7,0,0,3.033'
1505,Christian Benteke,35,16,3,1,0,1,2.893'
1506,Nicolás Otamendi,38,6,0,9,0,1,3.362'
1507,Julian Draxler,19,2,2,1,0,1,1.068'
1508,Jackson Martínez,42,32,7,6,0,0,3.511'
1509,Arturo Vidal,45,8,4,12,0,0,3.625'
1510,Roberto Firmino,36,10,12,7,0,0,3.201'
1511,Paulo Dybala,35,13,10,3,0,0,3.054'
1512,Mateo Kovacic,44,8,5,3,0,1,2.944'
1513,Geoffrey Kondogbia,33,2,1,5,0,0,2.739'
1514,Jackson Martínez,42,32,7,6,0,0,3.511'
1515,Morgan Schneiderlin,30,5,1,7,1,0,2.546'
1516,Arda Turan,46,3,6,8,1,0,3.384'
1517,Miralem Pjanić,46,5,10,10,0,0,3.347'
1518,Falcao,33,6,5,2,0,0,1.686'
1519,Memphis Depay,40,28,8,4,0,0,3.387'
1520,Carlos Bacca,56,28,10,8,0,0,3.574'
1521,Danilo,41,7,5,15,0,0,3.581'
1522,Rodrigo,32,4,5,4,1,2,2.161'
1523,Douglas Costa,33,5,7,5,0,0,2.181'
1524,Heung-min Son,42,17,4,4,0,1,3.181'
1525,Juan Cuadrado,37,6,4,8,0,0,2.117'
1526,Álvaro Negredo,34,6,5,4,0,0,1.733'
1527,Ramires,34,4,4,5,0,0,1.757'
1528,Pedro,50,11,9,5,0,0,2.199'
1529,Abdul Rahman Baba,33,2,6,4,0,0,2.833'
1530,Alex Sandro,40,1,5,11,1,0,3.450'
1531,Alessio Romagnoli,31,2,2,9,0,0,2.624'
1532,Layvin Kurzawa,39,0,5,3,0,0,3.000'
1533,Giannelli Imbula,39,2,3,6,0,0,3.386'
1534,Carlos Tevez,60,34,12,15,0,0,5.111'
1535,Raúl Jiménez,32,5,4,1,0,0,1.065'
1536,Aymen Abdennour,26,1,0,3,0,1,2.276'
1537,Bastian Schweinsteiger,28,5,8,6,0,0,1.938'
1538,Andrea Bertolacci,35,6,8,10,0,0,2.726'
1539,André Gomes,37,4,1,9,1,0,2.766'
1540,Luciano Vietto,48,20,8,6,0,0,2.955'
1541,Giannelli Imbula,39,2,3,6,0,0,3.386'
1542,Georginio Wijnaldum,44,18,6,1,0,0,3.702'
1543,Mario Mandzukic,43,20,5,14,0,0,3.078'
1544,Edin Dzeko,32,6,4,3,0,0,1.556'
1545,Yevgen Konoplyanka,42,8,7,6,0,0,3.223'
1546,Ivan Perisic,35,7,9,6,0,0,2.380'
1547,Aleksandar Mitrovic,51,28,5,11,0,0,4.285'
1548,Elkeson,28,10,6,2,0,0,2.117'
1549,Florian Thauvin,38,5,7,3,0,0,2.655'
1550,Sergej Milinković-Savić,24,5,1,4,0,0,1.668'
1551,Simone Zaza,34,12,3,11,0,0,2.745'
1552,Matteo Darmian,47,5,4,4,0,0,3.821'
1553,Gervinho,34,7,6,1,0,0,2.617'
1554,Mohamed Salah,34,9,6,1,0,0,2.129'
1555,Fábio Coentrão,17,0,2,3,0,1,998'
1556,Sami Khedira,17,0,0,3,0,0,621'
1557,Oumar Niasse,19,6,4,1,0,1,1.081'
1558,Nathaniel Clyne,41,3,0,6,0,0,3.687'
1559,Domenico Berardi,35,15,13,14,0,1,2.852'
1560,Aleix Vidal,47,6,11,10,0,0,3.393'
1561,Xherdan Shaqiri,35,5,4,7,0,0,1.710'
1562,Salomón Rondón,44,20,4,6,0,0,2.866'
1563,Xherdan Shaqiri,35,5,4,7,0,0,1.710'
1564,Filipe Luís,26,1,1,4,0,0,1.881'
1565,Toby Alderweireld,28,1,0,3,0,0,2.279'
1566,Jonjo Shelvey,35,3,6,9,1,0,2.770'
1567,Roberto Soldado,40,5,6,3,0,0,1.810'
1568,Moussa Sow,40,16,8,1,0,0,2.953'
1569,Yohan Cabaye,36,2,1,7,1,0,1.589'
1570,Virgil van Dijk,58,10,6,7,1,1,5.117'
1571,Andros Townsend,35,6,6,4,0,0,2.017'
1572,Yannick Carrasco,52,8,14,9,0,0,3.778'
1573,Ivan Cavaleiro,34,3,3,6,0,0,2.387'
1574,Jordy Clasie,46,2,6,14,0,0,4.098'
1575,Yannick Carrasco,52,8,14,9,0,0,3.778'
1576,Ivan Cavaleiro,34,3,3,6,0,0,2.387'
1577,Jordy Clasie,46,2,6,14,0,0,4.098'
1578,Asier Illarramendi,41,0,0,4,0,0,1.721'
1579,Stefan Savic,41,2,2,8,0,1,3.461'
1580,Robin van Persie,31,12,3,5,0,0,2.346'
1581,Nani,38,12,8,13,1,0,3.234'
1582,Miranda,36,3,1,10,0,1,3.225'
1583,Stevan Jovetic,26,5,4,0,0,0,1.184'
1584,Éder,31,12,5,5,0,0,2.459'
1585,Juan Iturbe,37,4,4,5,0,0,1.913'
1586,Seydou Doumbia,34,13,5,2,0,0,1.834'
1587,Seydou Doumbia,34,13,5,2,0,0,1.834'
1588,Lazar Markovic,34,3,1,0,0,1,1.880'
1589,Clinton N'Jie,33,8,9,1,0,0,1.715'
1590,Petr Cech,16,0,0,0,0,11,1.416'
1591,Paulinho,49,5,6,6,0,0,2.859'
1592,Adama Traoré,24,2,1,3,0,0,1.336'
1593,Hernanes,36,5,6,8,0,0,2.332'
1594,Gonzalo Castro,32,2,11,6,0,0,2.772'
1595,Matija Nastasic,19,0,0,3,0,0,1.710'
1596,Stephan El Shaarawy,19,3,3,3,0,0,1.286'
1597,Stephan El Shaarawy,19,3,3,3,0,0,1.286'
1598,James Milner,45,8,9,7,0,0,2.704'
1599,Florian Thauvin,38,5,7,3,0,0,2.655'
1600,Adem Ljajic,41,9,2,2,1,0,2.588'
1601,Benik Afobe,51,32,10,4,0,0,3.701'
1602,Sergi Darder,36,4,0,11,0,1,2.792'
1603,Demba Ba,60,39,9,7,0,0,4.753'
1604,Charles Aránguiz,11,0,1,2,0,0,945'
1605,Fredy Guarín,37,7,9,7,0,0,2.898'
1606,Mattia Destro,34,8,0,5,0,0,1.892'
1607,Charlie Austin,36,18,7,4,1,0,3.159'
1608,Lucas Silva,9,0,0,0,0,0,424'
1609,André Ayew,30,11,6,6,1,0,2.519'
1610,Mathieu Debuchy,15,1,0,3,1,0,1.260'
1611,Ramiro Funes Mori,44,5,0,13,0,2,3.898'
1612,Mohamed Elneny,42,3,3,5,0,0,2.833'
1613,Andre Gray,50,18,8,1,0,0,3.808'
1614,Luis Muriel,27,4,5,2,0,0,1.379'
1615,Max Kruse,42,13,11,2,0,0,3.257'
1616,Chancel Mbemba,37,3,1,5,1,0,3.277'
1617,Jordan Ayew,33,13,7,7,0,0,2.716'
1618,Rony Lopes,27,3,3,4,0,1,1.609'
1619,Chicharito,35,9,9,2,0,0,1.492'
1620,Jeremain Lens,37,9,12,5,1,0,2.778'
1621,Asmir Begovic,37,0,3,0,0,47,3.330'
1622,Raúl García,47,10,3,16,0,0,2.763'
1623,Danny Ings,37,11,4,6,0,0,3.122'
1624,Denis Suárez,46,6,5,4,0,0,2.403'
1625,Ciro Immobile,34,10,3,1,0,0,1.641'
1626,Fernando Llorente,45,9,4,0,0,0,2.712'
1627,Alex Song,31,0,3,4,0,0,2.434'
1628,Jordan Rhodes,47,21,5,1,0,0,3.613'
1629,Wahbi Khazri,34,9,8,8,0,0,2.527'
1630,Fabian Delph,32,2,5,3,0,1,2.793'
1631,Allan,38,2,6,9,0,0,3.316'
1632,Mathieu Valbuena,36,4,15,5,0,0,2.892'
1633,Tyrone Mings,44,1,6,11,0,0,3.782'
1634,James Chester,28,2,0,5,0,1,2.306'
1635,Thiago Neves,34,18,4,4,0,0,2.653'
1636,Shinji Okazaki,35,14,6,4,0,0,3.087'
1637,Angelo Ogbonna,30,0,0,4,0,0,2.054'
1638,Jordan Amavi,37,4,0,11,0,0,3.323'
1639,Kevin Kampl,47,11,19,7,1,0,3.457'
1640,Ciro Immobile,34,10,3,1,0,0,1.641'
1641,Timm Klose,19,3,0,1,0,0,1.505'
1642,Steven Naismith,39,9,4,10,0,0,2.763'
1643,Geuvânio,28,6,4,3,1,0,1.980'
1644,Jonathan Calleri,45,19,10,6,0,1,3.096'
1645,Jemerson,43,4,0,10,0,0,3.870'
1646,Johannes Geis,37,5,5,5,0,0,3.196'
1647,Fredy Montero,38,15,5,4,0,0,2.126'
1648,Balázs Dzsudzsák,43,7,13,2,0,0,2.747'
1649,Mario Balotelli,28,4,0,7,0,0,1.510'
1650,Cristian Tello,37,8,11,2,0,0,2.119'
1651,Alexandre Pato,39,13,7,4,0,0,2.923'
1652,Yangyang Jin,23,2,0,3,0,0,1.778'
1653,Fabio Borini,18,1,2,1,1,0,642'
1654,Abdoulaye Doucouré,41,5,6,5,0,0,3.228'
1655,Adalberto Peñaranda,None,None,None,None,None,None,None
1656,Dusan Basta,33,1,2,6,0,0,2.829'
1657,Jesús Corona,33,13,5,4,0,0,2.721'
1658,Ricardo Álvarez,17,1,0,4,0,0,725'
1659,Frenkie de Jong,15,5,2,0,0,0,1.134'
1660,Serge Aurier,16,1,7,2,0,0,1.314'
1661,Josip Drmic,38,6,1,1,0,0,1.365'
1662,Santi Mina,24,9,4,7,0,0,1.445'
1663,Jordan Veretout,40,7,7,6,0,0,3.546'
1664,Connor Wickham,40,6,1,8,0,0,2.974'
1665,Max Gradel,40,17,5,7,0,0,2.969'
1666,Adama Traoré,39,4,14,10,0,0,2.892'
1667,Thorgan Hazard,41,5,10,3,0,0,1.759'
1668,Mario Suárez,35,2,1,13,1,0,2.353'
1669,Malcom,34,5,4,1,0,0,2.498'
1670,Antonio Rüdiger,21,0,1,2,0,0,1.768'
1671,Emmanuel Emenike,35,5,8,9,0,0,2.311'
1672,Rafael,17,1,1,3,0,0,1.099'
1673,Lucas Digne,24,0,1,1,0,0,1.994'
1674,Martín Montoya,12,0,3,0,0,0,910'
1675,Jakub Blaszczykowski,20,0,2,2,0,0,961'
1676,Emmanuel Emenike,35,5,8,9,0,0,2.311'
1677,Ciro Immobile,34,10,3,1,0,0,1.641'
1678,André-Pierre Gignac,43,24,2,4,0,0,3.509'
1679,Wojciech Szczesny,29,0,2,0,1,31,2.580'
1680,Mario Gómez,32,10,4,4,0,0,2.342'
1681,Rony Lopes,27,3,3,4,0,1,1.609'
1682,Giuseppe Rossi,None,None,None,None,None,None,None
1683,Denis Cheryshev,40,7,10,10,0,0,2.554'
1684,Maicon,39,0,1,5,0,1,3.437'
1685,Jinhao Bi,33,5,2,3,0,0,2.885'
1686,Robbie Brady,32,3,4,2,0,0,2.152'
1687,Lu Zhang,26,0,3,0,0,39,2.340'
1688,Kevin Trapp,23,0,1,0,0,35,2.070'
1689,Aderllan Santos,41,5,0,6,1,0,3.525'
1690,Michail Antonio,49,15,14,7,0,0,4.157'
1691,Cédric Soares,35,0,3,10,1,1,2.870'
1692,Ivelin Popov,32,5,5,6,0,0,2.682'
1693,Diego Perotti,28,4,6,5,0,0,2.393'
1694,Derlis González,35,6,10,10,0,0,2.451'
1695,Mapou Yanga-Mbiwa,38,1,1,9,0,0,2.914'
1696,Lewis Grabban,36,12,4,2,0,1,2.131'
1697,Ke Sun,27,5,3,4,0,0,2.058'
1698,Gabriel Boschilia,8,1,0,0,0,0,237'
1699,Guido Carrillo,37,16,4,1,0,0,2.764'
1700,Asamoah Gyan,35,23,3,1,0,0,2.460'
1701,Idrissa Gueye,44,4,3,6,0,0,3.824'
1702,N'Golo Kanté,39,3,5,3,1,0,3.332'
1703,Rolando Mandragora,13,0,0,4,0,0,842'
1704,Fernando,25,1,0,3,0,0,1.658'
1705,Renato Augusto,40,5,9,2,0,0,3.391'
1706,Giovani dos Santos,51,9,12,6,0,0,2.993'
1707,Ezequiel Lavezzi,47,9,8,5,0,0,2.522'
1708,Mauricio Isla,27,0,2,4,0,0,2.161'
1709,Martin Hinteregger,48,3,3,8,1,2,4.250'
1710,Rémy Cabella,34,1,2,2,0,0,2.143'
1711,Tom Cleverley,38,3,0,8,0,0,3.098'
1712,Neto,38,0,5,0,0,46,3.420'
1713,Étienne Capoue,19,1,2,2,0,0,1.284'
1714,Jürgen Damm,35,2,6,2,0,0,2.618'
1715,Alberto Paloschi,37,9,3,2,0,0,2.661'
1716,Khamis Esmaeel,19,1,2,4,1,0,1.594'
1717,Benjamin Stambouli,27,1,0,6,0,0,1.673'
1718,José Manuel Jurado,20,3,4,0,0,0,1.225'
1719,Luiz Adriano,33,21,11,7,0,0,2.681'
1720,Joshua Kimmich,29,2,2,4,0,0,2.297'
1721,Andrea Bertolacci,35,6,8,10,0,0,2.726'
1722,Rudy Gestede,44,22,6,3,0,0,2.969'
1723,Gil,44,2,1,9,0,0,3.915'
1724,Franco Di Santo,28,14,2,8,0,0,2.475'
1725,Franco Di Santo,28,14,2,8,0,0,2.475'
1726,Konstantinos Mitroglou,34,19,1,3,0,0,2.618'
1727,Juan Fernando Quintero,30,3,7,0,0,0,1.275'
1728,Alessio Cerci,27,2,7,0,1,0,1.085'
1729,Dieumerci Mbokani,13,3,1,3,0,0,731'
1730,Leroy Fer,32,6,4,4,0,0,2.506'
1731,Andrea Belotti,39,6,2,3,0,0,1.381'
1732,Nordin Amrabat,35,6,7,8,0,0,2.275'
1733,Matej Vydra,45,16,6,2,0,0,2.706'
1734,Jonny Evans,19,0,0,1,0,0,1.495'
1735,Josué,39,9,7,12,1,0,3.121'
1736,Bradley Johnson,45,15,2,13,1,0,3.886'
1737,Admir Mehmedi,32,7,1,3,0,0,2.563'
1738,Jonas Hofmann,13,3,0,1,0,0,729'
1739,Souza,16,2,0,2,0,0,1.403'
1740,Jeison Murillo,19,0,0,4,1,0,1.593'
1741,Steven Nzonzi,42,4,1,2,0,0,3.690'
1742,Joselu,32,10,4,4,0,0,2.654'
1743,Kenedy,1,0,0,0,0,0,90'
1744,Samu Castillejo,39,1,5,5,0,0,2.470'
1745,Samu García,38,5,3,8,1,0,2.635'
1746,Burak Yilmaz,37,22,5,8,0,0,2.956'
1747,Alberto Grassi,6,0,0,0,0,0,415'
1748,Davie Selke,33,10,4,4,0,0,2.155'
1749,Simon Kjaer,42,3,0,6,0,0,3.700'
1750,Luis Suárez,37,31,19,6,0,0,3.249'
1751,James Rodríguez,38,10,14,1,0,0,2.898'
1752,Ángel Di María,52,11,25,7,0,0,3.758'
1753,Falcao,19,11,1,5,0,0,1.499'
1754,Antoine Griezmann,50,20,5,5,0,0,3.678'
1755,Cesc Fàbregas,55,13,17,10,0,0,3.767'
1756,Robert Lewandowski,48,28,13,6,0,0,4.192'
1757,David Luiz,34,0,3,11,0,0,2.683'
1758,Eliaquim Mangala,42,5,2,14,1,1,3.725'
1759,Alexis Sánchez,54,21,16,6,0,0,3.418'
1760,Toni Kroos,51,4,9,8,0,0,3.931'
1761,Diego Costa,52,36,4,13,0,0,4.174'
1762,Luke Shaw,38,0,2,4,0,0,3.262'
1763,Ander Herrera,39,5,6,7,0,0,2.934'
1764,Romelu Lukaku,36,16,8,2,0,0,2.805'
1765,Wilfried Bony,48,26,7,4,0,0,3.555'
1766,André Schürrle,43,9,3,2,0,0,2.064'
1767,Juan Cuadrado,43,15,11,13,1,0,3.435'
1768,Adam Lallana,42,10,8,3,0,0,3.307'
1769,Mario Mandzukic,48,26,10,8,0,0,3.314'
1770,Medhi Benatia,37,5,0,10,0,0,3.131'
1771,Mario Balotelli,41,18,8,14,1,0,3.161'
1772,Dejan Lovren,31,2,1,7,0,0,2.788'
1773,Lazar Markovic,49,7,5,3,0,1,2.864'
1774,Enzo Pérez,47,5,8,11,1,0,3.726'
1775,Seydou Doumbia,27,20,9,4,0,0,2.023'
1776,Juan Iturbe,34,8,5,5,0,0,2.518'
1777,Álvaro Negredo,49,23,8,4,0,0,2.552'
1778,Sadio Mané,50,23,18,8,1,1,3.903'
1779,Matija Nastasic,20,0,1,5,0,0,1.657'
1780,Calum Chambers,26,0,0,0,0,0,1.990'
1781,Filipe Luís,49,1,6,7,1,1,4.272'
1782,Álvaro Morata,34,9,1,2,0,0,969'
1783,Jérémy Mathieu,46,4,2,8,1,0,4.074'
1784,Marcos Rojo,28,6,0,10,2,1,2.354'
1785,Danny Welbeck,36,10,6,2,0,0,2.290'
1786,Ivan Rakitic,52,15,18,6,0,0,4.138'
1787,Juan Iturbe,34,8,5,5,0,0,2.518'
1788,Marc-André ter Stegen,35,0,1,0,0,43,3.180'
1789,Ezequiel Garay,49,8,0,4,0,0,4.456'
1790,Lukas Podolski,27,12,5,1,0,0,1.594'
1791,Xherdan Shaqiri,27,7,4,1,0,0,1.222'
1792,Thomas Vermaelen,21,0,1,3,0,0,1.336'
